"","id_cliente","nome_cliente","segmento","cidade","estado","pais","mercado","regiao"
"1","RH-19495","Rick Hansen","Consumidor","New York City","New York","United States","US","East"
"2","JR-16210","Justin Ritter","Corporativo","Wollongong","New South Wales","Australia","APAC","Oceania"
"3","CR-12730","Craig Reiter","Consumidor","Brisbane","Queensland","Australia","APAC","Oceania"
"4","KM-16375","Katherine Murray","Outros","Berlin","Berlin","Germany","EU","Central"
"5","RH-9495","Rick Hansen","Consumidor","Dakar","Dakar","Senegal","Africa","Africa"
"6","JM-15655","Jim Mitchum","Corporativo","Sydney","New South Wales","Australia","APAC","Oceania"
"7","TS-21340","Toby Swindell","Consumidor","Porirua","Wellington","New Zealand","APAC","Oceania"
"8","MB-18085","Mick Brown","Consumidor","Hamilton","Waikato","New Zealand","APAC","Oceania"
"9","JW-15220","Jane Waco","Corporativo","Sacramento","California","United States","US","West"
"10","JH-15985","Joseph Holt","Consumidor","Concord","North Carolina","United States","US","South"
"11","GM-14695","Greg Maxwell","Corporativo","Alexandria","Virginia","United States","US","South"
"12","AJ-10780","Anthony Jacobs","Corporativo","Kabul","Kabul","Afghanistan","APAC","Central Asia"
"13","MM-7260","Magdelene Morse","Consumidor","Jizan","Jizan","Saudi Arabia","EMEA","EMEA"
"14","VF-21715","Vicky Freymann","Outros","Toledo","Parana","Brazil","LATAM","South"
"15","PF-19120","Peter Fuller","Consumidor","Mudanjiang","Heilongjiang","China","APAC","North Asia"
"16","BP-11185","Ben Peterman","Corporativo","Paris","Ile-de-France","France","EU","Central"
"17","TB-21175","Thomas Boland","Corporativo","Henderson","Kentucky","United States","US","South"
"18","PJ-18835","Patrick Jones","Corporativo","Prato","Tuscany","Italy","EU","South"
"19","JS-15685","Jim Sink","Corporativo","Townsville","Queensland","Australia","APAC","Oceania"
"20","RH-9555","Ritsa Hightower","Consumidor","Uvinza","Kigoma","Tanzania","Africa","Africa"
"21","AB-600","Ann Blume","Corporativo","Bytom","Silesia","Poland","EMEA","EMEA"
"22","SA-20830","Sue Ann Reed","Consumidor","Chicago","Illinois","United States","US","Central"
"23","JK-15325","Jason Klamczynski","Corporativo","Suzhou","Anhui","China","APAC","North Asia"
"24","LB-16795","Laurel Beltran","Outros","Edinburgh","Scotland","United Kingdom","EU","North"
"25","NP-18325","Naresj Patel","Consumidor","Juárez","Chihuahua","Mexico","LATAM","North"
"26","VD-21670","Valerie Dominguez","Consumidor","Soyapango","San Salvador","El Salvador","LATAM","Central"
"27","PB-19210","Phillip Breyer","Corporativo","Taipei","Taipei City","Taiwan","APAC","North Asia"
"28","EB-14110","Eugene Barchas","Consumidor","Leipzig","Saxony","Germany","EU","Central"
"29","KF-16285","Karen Ferguson","Outros","Los Angeles","California","United States","US","West"
"30","BP-11230","Benjamin Patterson","Consumidor","Surat","Gujarat","India","APAC","Central Asia"
"31","RR-19525","Rick Reed","Corporativo","Santo Domingo","Santo Domingo","Dominican Republic","LATAM","Caribbean"
"32","BS-11365","Bill Shonely","Corporativo","Saint-Brieuc","Brittany","France","EU","Central"
"33","JE-15745","Joel Eaton","Consumidor","Amarillo","Texas","United States","US","Central"
"34","DP-13105","Dave Poirier","Corporativo","Gold Coast","Queensland","Australia","APAC","Oceania"
"35","NP-18700","Nora Preis","Consumidor","Fresno","California","United States","US","West"
